Year,Sector,Value
2010,"Agriculture,forestry and fishing",115.761957
2010,Mining and quarrying,8678.012425
2010,Manufacturing,6077.502747
2010,"Electricity, gas, steam and air conditioning supply",438.241695
2010,"Water supply; sewerage, waste management and remediation activities",124.030668
2010,Construction,2972.601684
2010,Wholesale and retailtrade; repair of motor vehicles and motorcycles,1823.250824
2010,Transportation and storage,1413.949619
2010,Accommodation and food service activities,1074.932459
2010,Information and communication,1430.487041
2010,Financial and insurance activities,7069.748093
2010,Realestate activities,1918.341003
2010,"Professional,scientific and technical activities",723.512232
2010,Administrative and support service activities,963.304857
2010,Public administration and defence; compulsory social security,2695.599858
2010,Education,1595.861265
2010,Human health and social work activities,938.498723
2010,"Arts, entertainment and recreation",99.224535
2010,Other service activities,744.18401
2010,Activities of households as employers; undifferentiated goods -and of households for own use,310.076671
2010,Activities of extraterritorial organizations and bodies,0.0
2010,Total Value added at basic prices,41252.600277
2010,Net Taxes on Products,417.569917
2010,Gross Domestic Product at Current Prices,41670.170193
2011,"Agriculture,forestry and fishing",128.165024
2011,Mining and quarrying,12084.721448
2011,Manufacturing,6995.329692
2011,"Electricity, gas, steam and air conditioning supply",463.047828
2011,"Water supply; sewerage, waste management and remediation activities",144.702446
2011,Construction,2765.883903
2011,Wholesale and retailtrade; repair of motor vehicles and motorcycles,1777.772912
2011,Transportation and storage,1471.830597
2011,Accommodation and food service activities,831.005478
2011,Information and communication,1455.293175
2011,Financial and insurance activities,7140.032138
2011,Realestate activities,1786.041624
2011,"Professional,scientific and technical activities",706.974809
2011,Administrative and support service activities,1025.320191
2011,Public administration and defence; compulsory social security,3220.66302
2011,Education,1748.832423
2011,Human health and social work activities,1037.723258
2011,"Arts, entertainment and recreation",111.627601
2011,Other service activities,864.080322
2011,Activities of households as employers; undifferentiated goods -and of households for own use,322.479738
2011,Activities of extraterritorial organizations and bodies,0.0
2011,Total Value added at basic prices,46118.73683
2011,Net Taxes on Products,380.360716
2011,Gross Domestic Product at Current Prices,46499.097546
2012,"Agriculture,forestry and fishing",128.165024
2012,Mining and quarrying,12163.274205
2012,Manufacturing,7334.346852
2012,"Electricity, gas, steam and air conditioning supply",458.913473
2012,"Water supply; sewerage, waste management and remediation activities",194.314714
2012,Construction,2860.974082
2012,Wholesale and retailtrade; repair of motor vehicles and motorcycles,1885.266158
2012,Transportation and storage,1752.966779
2012,Accommodation and food service activities,1008.782769
2012,Information and communication,1492.502375
2012,Financial and insurance activities,7487.31801
2012,Realestate activities,1843.922602
2012,"Professional,scientific and technical activities",764.855788
2012,Administrative and support service activities,1112.141659
2012,Public administration and defence; compulsory social security,3820.144584
2012,Education,2050.640383
2012,Human health and social work activities,1401.546552
2012,"Arts, entertainment and recreation",115.761957
2012,Other service activities,950.90179
2012,Activities of households as employers; undifferentiated goods -and of households for own use,343.151516
2012,Activities of extraterritorial organizations and bodies,0.0
2012,Total Value added at basic prices,49215.369181
2012,Net Taxes on Products,471.31654
2012,Gross Domestic Product at Current Prices,49686.685721
2013,"Agriculture,forestry and fishing",136.433735
2013,Mining and quarrying,13118.310351
2013,Manufacturing,7727.110635
2013,"Electricity, gas, steam and air conditioning supply",508.52574
2013,"Water supply; sewerage, waste management and remediation activities",181.911647
2013,Construction,3005.676528
2013,Wholesale and retailtrade; repair of motor vehicles and motorcycles,1939.012781
2013,Transportation and storage,1864.59438
2013,Accommodation and food service activities,1087.335525
2013,Information and communication,1521.442864
2013,Financial and insurance activities,7776.722902
2013,Realestate activities,1914.206647
2013,"Professional,scientific and technical activities",814.468055
2013,Administrative and support service activities,1186.56006
2013,Public administration and defence; compulsory social security,3973.115741
2013,Education,2282.164297
2013,Human health and social work activities,1496.636731
2013,"Arts, entertainment and recreation",124.030668
2013,Other service activities,1029.454547
2013,Activities of households as employers; undifferentiated goods -and of households for own use,372.092005
2013,Activities of extraterritorial organizations and bodies,0.0
2013,Total Value added at basic prices,52101.149397
2013,Net Taxes on Products,475.450895
2013,Gross Domestic Product at Current Prices,52576.600292
2014,"Agriculture,forestry and fishing",152.971158
2014,Mining and quarrying,12432.007319
2014,Manufacturing,8020.649883
2014,"Electricity, gas, steam and air conditioning supply",533.331874
2014,"Water supply; sewerage, waste management and remediation activities",198.449069
2014,Construction,3303.350132
2014,Wholesale and retailtrade; repair of motor vehicles and motorcycles,2046.506027
2014,Transportation and storage,2075.446516
2014,Accommodation and food service activities,1136.947793
2014,Information and communication,1517.308509
2014,Financial and insurance activities,8128.143129
2014,Realestate activities,2021.699893
2014,"Professional,scientific and technical activities",901.289523
2014,Administrative and support service activities,1331.262506
2014,Public administration and defence; compulsory social security,4196.370944
2014,Education,2397.926254
2014,Human health and social work activities,1587.592554
2014,"Arts, entertainment and recreation",136.433735
2014,Other service activities,1128.679082
2014,Activities of households as employers; undifferentiated goods -and of households for own use,405.16685
2014,Activities of extraterritorial organizations and bodies,0.0
2014,Total Value added at basic prices,53684.607596
2014,Net Taxes on Products,363.823294
2014,Gross Domestic Product at Current Prices,54052.565245
2015,"Agriculture,forestry and fishing",148.836802
2015,Mining and quarrying,6850.627246
2015,Manufacturing,8682.146781
2015,"Electricity, gas, steam and air conditioning supply",434.107339
2015,"Water supply; sewerage, waste management and remediation activities",214.986492
2015,Construction,3572.083247
2015,Wholesale and retailtrade; repair of motor vehicles and motorcycles,2108.521361
2015,Transportation and storage,2220.148963
2015,Accommodation and food service activities,1178.291349
2015,Information and communication,1599.995621
2015,Financial and insurance activities,8384.473177
2015,Realestate activities,2075.446516
2015,"Professional,scientific and technical activities",934.364368
2015,Administrative and support service activities,1426.352685
2015,Public administration and defence; compulsory social security,4336.939035
2015,Education,2501.285144
2015,Human health and social work activities,1657.8766
2015,"Arts, entertainment and recreation",140.568091
2015,Other service activities,1161.753926
2015,Activities of households as employers; undifferentiated goods -and of households for own use,434.107339
2015,Activities of extraterritorial organizations and bodies,0.0
2015,Total Value added at basic prices,50104.255638
2015,Net Taxes on Products,450.644761
2015,Gross Domestic Product at Current Prices,50554.900399
2016,"Agriculture,forestry and fishing",165.374224
2016,Mining and quarrying,6036.159191
2016,Manufacturing,9397.390302
2016,"Electricity, gas, steam and air conditioning supply",496.122673
2016,"Water supply; sewerage, waste management and remediation activities",235.65827
2016,Construction,3952.443963
2016,Wholesale and retailtrade; repair of motor vehicles and motorcycles,2170.536695
2016,Transportation and storage,2306.97043
2016,Accommodation and food service activities,1211.366194
2016,Information and communication,1678.548378
2016,Financial and insurance activities,8851.655361
2016,Realestate activities,2207.745896
2016,"Professional,scientific and technical activities",1000.514058
2016,Administrative and support service activities,1575.189487
2016,Public administration and defence; compulsory social security,4568.462949
2016,Education,2617.047101
2016,Human health and social work activities,1724.026289
2016,"Arts, entertainment and recreation",165.374224
2016,Other service activities,1376.740418
2016,Activities of households as employers; undifferentiated goods -and of households for own use,496.122673
2016,Activities of extraterritorial organizations and bodies,0.0
2016,Total Value added at basic prices,52266.523622
2016,Net Taxes on Products,405.16685
2016,Gross Domestic Product at Current Prices,52671.690471
2017,"Agriculture,forestry and fishing",157.105513
2017,Mining and quarrying,7367.421697
2017,Manufacturing,10513.666316
2017,"Electricity, gas, steam and air conditioning supply",529.197518
2017,"Water supply; sewerage, waste management and remediation activities",248.061337
2017,Construction,4460.969703
2017,Wholesale and retailtrade; repair of motor vehicles and motorcycles,2327.642208
2017,Transportation and storage,2488.882077
2017,Accommodation and food service activities,1331.262506
2017,Information and communication,1781.907268
2017,Financial and insurance activities,9430.465146
2017,Realestate activities,2331.776564
2017,"Professional,scientific and technical activities",1054.260681
2017,Administrative and support service activities,1682.682733
2017,Public administration and defence; compulsory social security,4775.18073
2017,Education,2683.196791
2017,Human health and social work activities,1802.579046
